gate_name	gate_suffix	block_size	threshold	gridsynth_time	ntro_time	control_dist	gridsynth_dist	ntro_dist	og_t	og_cliff	og_rz	gridsynth_t	gridsynth_cliff	int_rz	opt_t	opt_cliff	timestamp
QFTAdd8	after	3	0.001	3.881677755000055	22.933448724999835	1.9838971643260095e-07	0.0006453783095331511	0.0006270533204468798	0	200	122	5851	9370	119	5873	9263	2025-04-11T12:44:18.199536
QFTAdd8	before	3	1e-07	20.025685922000775	52.84124174799945	2.9141231161489145e-07	3.531964652969677e-07	4.3657431858523665e-07	0	200	276	13016	20398	241	12005	18713	2025-04-11T12:45:41.044701
QFTAdd8	after	3	1e-07	11.867870141999447	35.786639296999965	1.9838971643260095e-07	2.9141231161489145e-07	2.8598343848607044e-07	0	200	122	6329	9956	119	6328	9958	2025-04-11T12:46:34.590047
QFTAdd8	before	3	0.0001	7.282177090999539	34.03859977299999	2.9141231161489145e-07	3.7744671496420246e-05	1.303831279941825e-05	0	200	276	16243	25351	228	15661	24296	2025-04-11T12:47:28.051876
QFTAdd8	after	3	0.0001	4.458679437000683	24.270068951999747	1.9838971643260095e-07	5.474527837501242e-05	5.370068600629718e-05	0	200	122	6920	11002	119	6993	11146	2025-04-11T12:48:03.193355
QFTAdd8	before	3	1e-06	20.04269847999967	44.15556813400053	2.9141231161489145e-07	4.2558083090948884e-07	2.651486308291595e-07	0	200	276	13100	20473	236	12968	20230	2025-04-11T12:49:17.521936
QFTAdd8	after	3	1e-06	9.536179265999635	30.00906763600051	1.9838971643260095e-07	3.4558808326146107e-07	3.666615074893187e-07	0	200	122	6521	10248	119	6537	10317	2025-04-11T12:50:03.005455
QFTAdd8	before	3	1e-08	29.118640404999496	63.447038883999994	2.9141231161489145e-07	3.063134728087391e-07	3.1172126191414407e-07	0	200	276	12985	20270	249	12700	19828	2025-04-11T12:51:45.724513
QFTAdd8	after	3	1e-08	13.24182251900038	42.791432034000536	1.9838971643260095e-07	3.512177735309763e-07	4.2844566117139493e-07	0	200	122	6292	9901	119	6314	9926	2025-04-11T12:52:47.486171
QFTAdd8	before	5	1e-05	16.436266452000382	56.46944906600038	1.263426044895155e-07	4.7299571881431746e-06	4.789863976006892e-06	0	200	276	19142	29623	209	15445	23926	2025-04-11T12:54:13.527902
QFTAdd8	after	5	1e-05	4.99944150400006	36.31737775599959	9.30225951822905e-08	5.009119140031437e-06	5.300041170941405e-06	0	200	122	8144	12747	117	8012	12594	2025-04-11T12:55:01.766113
