gate_name	gate_suffix	block_size	partitions	threshold	gridsynth_time	ntro_time	control_dist	gridsynth_dist	ntro_dist	og_t	og_cliff	og_rz	gridsynth_t	gridsynth_cliff	int_rz	opt_t	opt_cliff	timestamp
QFTAdd8	before	4	38	0.001	4.701331353999194	28.261580123000385	2.0711861459243863e-07	0.0003470644924659094	0.00036272444281648664	0	200	276	13591	21106	216	11026	17204	2025-04-15T18:34:24.561085
QFTAdd8	after	4	43	0.001	3.7392287429993303	20.992766841000048	8.067806900324825e-08	0.0006252751012936208	0.0006082637965358906	0	200	122	5614	8905	115	5593	8866	2025-04-15T18:34:54.674123
QFTAdd64	before	4	953	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:34:57.982066	Skipping circuit QFTAdd64_before because it required too tight an error threshold 1.0493179433368312e-06
QFTAdd64	after	4	1063	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:35:00.559271	Skipping circuit QFTAdd64_after because it required too tight an error threshold 9.407337723424271e-07
QFTAdd512	before	4	8346	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:38:06.273065	Skipping circuit QFTAdd512_before because it required too tight an error threshold 1.1981787682722261e-07
QFTAdd512	after	4	9289	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:40:58.747847	Skipping circuit QFTAdd512_after because it required too tight an error threshold 1.0765421466250404e-07
QFTAdd32	before	4	421	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:41:00.519558	Skipping circuit QFTAdd32_before because it required too tight an error threshold 2.375296912114014e-06
QFTAdd32	after	4	469	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:41:02.060459	Skipping circuit QFTAdd32_after because it required too tight an error threshold 2.132196162046908e-06
QFTAdd256	before	4	4116	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:41:38.060702	Skipping circuit QFTAdd256_before because it required too tight an error threshold 2.4295432458697764e-07
QFTAdd256	after	4	4591	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:42:06.922371	Skipping circuit QFTAdd256_after because it required too tight an error threshold 2.1781746896101068e-07
QFTAdd16	before	4	157	0.001	17.408210614998097	100.70694716399885	1.2236650137609217e-06	0.0004014983666302818	0.0004192649962048156	0	748	1074	60474	94729	887	51112	80086	2025-04-15T18:44:43.273930
QFTAdd16	after	4	173	0.001	11.932526356999006	73.62056121999922	6.850147656889405e-07	0.0006617835790508897	0.0006556913611571735	0	748	420	21845	34517	410	21964	34684	2025-04-15T18:46:25.142875
QFTAdd128	before	4	2011	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:46:33.951436	Skipping circuit QFTAdd128_before because it required too tight an error threshold 4.972650422675286e-07
QFTAdd128	after	4	2238	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:46:40.345228	Skipping circuit QFTAdd128_after because it required too tight an error threshold 4.4682752457551384e-07
QFT8	before	4	12	0.001	2.6257753770005365	11.295944532001158	4.214684845571526e-08	0.00011421675123551473	0.00011757473028696332	0	64	84	3985	6251	70	3290	5146	2025-04-15T18:46:58.908352
QFT8	after	4	14	0.001	2.426479803001712	8.158631841000897	3.5974585421705285e-08	0.00014766036158704476	0.00016096272671139482	0	64	42	1910	3000	42	1910	3048	2025-04-15T18:47:12.876700
QFT64	before	4	302	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:47:14.461201	Skipping circuit QFT64_before because it required too tight an error threshold 3.3112582781456956e-06
QFT64	after	4	340	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:47:15.811358	Skipping circuit QFT64_after because it required too tight an error threshold 2.9411764705882355e-06
QFT512	before	4	2643	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:47:32.467827	Skipping circuit QFT512_before because it required too tight an error threshold 3.7835792659856224e-07
QFT512	after	4	3029	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:47:44.466506	Skipping circuit QFT512_after because it required too tight an error threshold 3.301419610432486e-07
QFT32	before	4	136	0.001	15.107751518000441	87.36791941800038	9.075021267790362e-07	0.0003510325035883666	0.0003802250472884072	0	644	918	53826	83777	777	44711	70187	2025-04-15T18:50:00.909123
QFT32	after	4	149	0.001	10.078162103000068	62.932914320001146	5.47288686925107e-07	0.0006134766383937285	0.0006193699127178265	0	644	368	20006	31819	368	19934	31679	2025-04-15T18:51:28.878334
QFT256	before	4	1305	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:51:34.128326	Skipping circuit QFT256_before because it required too tight an error threshold 7.662835249042146e-07
QFT256	after	4	1494	0.001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025-04-15T18:51:37.947296	Skipping circuit QFT256_after because it required too tight an error threshold 6.693440428380188e-07
QFT16	before	4	52	0.001	5.804994534999423	36.12277245599762	3.474519891799588e-07	0.00042533502438291126	0.0004258191883156348	0	244	342	18604	29120	290	15423	24259	2025-04-15T18:52:32.289107
QFT16	after	4	53	0.001	4.218449515003158	25.117783246998442	1.8498619736018185e-07	0.0005946868751757206	0.0005695103631621068	0	244	144	7260	11574	144	7282	11616	2025-04-15T18:53:07.972703
